customer_name,city,product_name,category,date,amount,,,date
Alice,New York,Laptop,Electronics,2024-01-01,1200,,,
Bob,Los Angeles,Phone,Electronics,2024-01-02,800,,,
Charlie,Dallas,Tablet,Electronics,2024-01-03,500,,,
David,Miami,Monitor,Accessories,2024-01-04,300,,,
Eve,Chicago,Keyboard,Accessories,2024-01-05,100,,,
Frank,Houston,Mouse,Accessories,2024-01-06,50,,,
Grace,Seattle,Printer,Office,2024-01-07,250,,,
Hank,Boston,Camera,Electronics,2024-01-08,900,,,
Ivy,San Francisco,Speaker,Audio,2024-01-09,180,,,
Jack,Atlanta,Headphones,Audio,2024-01-10,150,,,
Alice,New York,Phone,Electronics,2024-01-11,850,,,
Bob,Los Angeles,Laptop,Electronics,2024-01-12,1300,,,
Charlie,Dallas,Mouse,Accessories,2024-01-13,45,,,
David,Miami,Tablet,Electronics,2024-01-14,520,,,
Eve,Chicago,Camera,Electronics,2024-01-15,950,,,
Frank,Houston,Printer,Office,2024-01-16,260,,,
Grace,Seattle,Speaker,Audio,2024-01-17,175,,,
Hank,Boston,Keyboard,Accessories,2024-01-18,95,,,
Ivy,San Francisco,Monitor,Accessories,2024-01-19,320,,,
Jack,Atlanta,Laptop,Electronics,2024-01-20,1250,,,
Alice,New York,Headphones,Audio,2024-01-21,160,,,
Bob,Los Angeles,Speaker,Audio,2024-01-22,200,,,
Charlie,Dallas,Printer,Office,2024-01-23,275,,,
David,Miami,Mouse,Accessories,2024-01-24,55,,,
Eve,Chicago,Laptop,Electronics,2024-01-25,1400,,,
Frank,Houston,Phone,Electronics,2024-01-26,780,,,
Grace,Seattle,Tablet,Electronics,2024-01-27,490,,,
Hank,Boston,Camera,Electronics,2024-01-28,920,,,
Ivy,San Francisco,Keyboard,Accessories,2024-01-29,110,,,
Jack,Atlanta,Monitor,Accessories,2024-01-30,310,,,
Alice,New York,Printer,Office,2024-02-01,265,,,
Bob,Los Angeles,Mouse,Accessories,2024-02-02,60,,,
Charlie,Dallas,Laptop,Electronics,2024-02-03,1350,,,
David,Miami,Speaker,Audio,2024-02-04,185,,,
Eve,Chicago,Tablet,Electronics,2024-02-05,510,,,
Frank,Houston,Headphones,Audio,2024-02-06,145,,,
Grace,Seattle,Phone,Electronics,2024-02-07,790,,,
Hank,Boston,Monitor,Accessories,2024-02-08,305,,,
Ivy,San Francisco,Camera,Electronics,2024-02-09,970,,,
Jack,Atlanta,Keyboard,Accessories,2024-02-10,90,,,
Alice,New York,Mouse,Accessories,2024-02-11,48,,,
Bob,Los Angeles,Printer,Office,2024-02-12,255,,,
Charlie,Dallas,Speaker,Audio,2024-02-13,190,,,
David,Miami,Phone,Electronics,2024-02-14,820,,,
Eve,Chicago,Monitor,Accessories,2024-02-15,315,,,
Frank,Houston,Laptop,Electronics,2024-02-16,1450,,,
Grace,Seattle,Camera,Electronics,2024-02-17,980,,,
Hank,Boston,Tablet,Electronics,2024-02-18,530,,,
Ivy,San Francisco,Headphones,Audio,2024-02-19,155,,,
Jack,Atlanta,Printer,Office,2024-02-20,270,,,
