customer_id,name,city
1,Alice,New York
2,Bob,Los Angeles
3,Charlie,Dallas
4,David,Miami
5,Eve,Chicago
6,Frank,Houston
7,Grace,Seattle
8,Hank,Boston
9,Ivy,San Francisco
10,Jack,Atlanta
11,Alice,New York
12,Bob,Los Angeles
13,Charlie,Dallas
14,David,Miami
15,Eve,Chicago
16,Frank,Houston
17,Grace,Seattle
18,Hank,Boston
19,Ivy,San Francisco
20,Jack,Atlanta
21,Alice,New York
22,Bob,Los Angeles
23,Charlie,Dallas
24,David,Miami
25,Eve,Chicago
26,Frank,Houston
27,Grace,Seattle
28,Hank,Boston
29,Ivy,San Francisco
30,Jack,Atlanta
31,Alice,New York
32,Bob,Los Angeles
33,Charlie,Dallas
34,David,Miami
35,Eve,Chicago
36,Frank,Houston
37,Grace,Seattle
38,Hank,Boston
39,Ivy,San Francisco
40,Jack,Atlanta
41,Alice,New York
42,Bob,Los Angeles
43,Charlie,Dallas
44,David,Miami
45,Eve,Chicago
46,Frank,Houston
47,Grace,Seattle
48,Hank,Boston
49,Ivy,San Francisco
50,Jack,Atlanta
